Timestamp,Machine_ID,Sensor_Type,Reading_Value,Unit,Threshold_Alert
2026-08-17 11:23:28,HVAC_Unit_B,Temperature,79.61,Celsius,NO
2026-08-17 11:08:28,Sensor_Node_X,Pressure,57.7,PSI,NO
2026-08-17 10:53:28,CNC_Machine_01,Vibration,63.27,Hz,NO
2026-08-17 10:38:28,Sensor_Node_X,Temperature,56.94,Celsius,NO
2026-08-17 10:23:28,Sensor_Node_X,Temperature,34.64,Celsius,NO
2026-08-17 10:08:28,Conveyor_Belt_03,Temperature,74.18,Celsius,NO
2026-08-17 09:53:28,CNC_Machine_01,Pressure,41.06,PSI,NO
2026-08-17 09:38:28,CNC_Machine_01,Vibration,21.82,Hz,NO
2026-08-17 09:23:28,CNC_Machine_01,Temperature,68.41,Celsius,NO
2026-08-17 09:08:28,Sensor_Node_X,Temperature,33.28,Celsius,NO
2026-08-17 08:53:28,HVAC_Unit_B,Temperature,90.53,Celsius,YES
2026-08-17 08:38:28,CNC_Machine_01,Pressure,91.54,PSI,YES
2026-08-17 08:23:28,Sensor_Node_X,Pressure,88.61,PSI,YES
2026-08-17 08:08:28,Conveyor_Belt_03,Vibration,47.76,Hz,NO
2026-08-17 07:53:28,HVAC_Unit_B,Pressure,21.16,PSI,NO
2026-08-17 07:38:28,Conveyor_Belt_03,Temperature,89.62,Celsius,YES
2026-08-17 07:23:28,HVAC_Unit_B,Vibration,52.11,Hz,NO
2026-08-17 07:08:28,Sensor_Node_X,Temperature,92.5,Celsius,YES
2026-08-17 06:53:28,Robotic_Arm_A1,Temperature,92.27,Celsius,YES
2026-08-17 06:38:28,HVAC_Unit_B,Pressure,83.98,PSI,YES
2026-08-17 06:23:28,Conveyor_Belt_03,Vibration,42.08,Hz,NO
2026-08-17 06:08:28,Sensor_Node_X,Pressure,48.88,PSI,NO
2026-08-17 05:53:28,HVAC_Unit_B,Pressure,83.84,PSI,YES
2026-08-17 05:38:28,Robotic_Arm_A1,Vibration,43.77,Hz,NO
2026-08-17 05:23:28,Robotic_Arm_A1,Temperature,32.71,Celsius,NO
2026-08-17 05:08:28,CNC_Machine_01,Temperature,61.76,Celsius,NO
2026-08-17 04:53:28,CNC_Machine_01,Vibration,90.21,Hz,YES
2026-08-17 04:38:28,Conveyor_Belt_03,Temperature,72.2,Celsius,NO
2026-08-17 04:23:28,HVAC_Unit_B,Vibration,62.75,Hz,NO
2026-08-17 04:08:28,HVAC_Unit_B,Vibration,27.29,Hz,NO
2026-08-17 03:53:28,CNC_Machine_01,Pressure,66.13,PSI,NO
2026-08-17 03:38:28,HVAC_Unit_B,Vibration,94.25,Hz,YES
2026-08-17 03:23:28,HVAC_Unit_B,Pressure,30.51,PSI,NO
2026-08-17 03:08:28,Robotic_Arm_A1,Temperature,58.87,Celsius,NO
2026-08-17 02:53:28,CNC_Machine_01,Temperature,85.8,Celsius,YES
2026-08-17 02:38:28,Sensor_Node_X,Temperature,75.56,Celsius,NO
2026-08-17 02:23:28,CNC_Machine_01,Temperature,72.28,Celsius,NO
2026-08-17 02:08:28,Sensor_Node_X,Pressure,72.69,PSI,NO
2026-08-17 01:53:28,Robotic_Arm_A1,Temperature,46.96,Celsius,NO
2026-08-17 01:38:28,Conveyor_Belt_03,Vibration,42.02,Hz,NO
2026-08-17 01:23:28,HVAC_Unit_B,Vibration,80.7,Hz,YES
2026-08-17 01:08:28,Robotic_Arm_A1,Vibration,80.76,Hz,YES
2026-08-17 00:53:28,HVAC_Unit_B,Pressure,85.03,PSI,YES
2026-08-17 00:38:28,Conveyor_Belt_03,Temperature,88.49,Celsius,YES
2026-08-17 00:23:28,Conveyor_Belt_03,Temperature,58.35,Celsius,NO
2026-08-17 00:08:28,Robotic_Arm_A1,Temperature,57.61,Celsius,NO
2026-08-16 23:53:28,Conveyor_Belt_03,Pressure,79.87,PSI,NO
2026-08-16 23:38:28,Sensor_Node_X,Vibration,68.75,Hz,NO
2026-08-16 23:23:28,Conveyor_Belt_03,Vibration,72.65,Hz,NO
2026-08-16 23:08:28,HVAC_Unit_B,Temperature,79.68,Celsius,NO
2026-08-16 22:53:28,HVAC_Unit_B,Vibration,86.75,Hz,YES
2026-08-16 22:38:28,HVAC_Unit_B,Vibration,45.35,Hz,NO
2026-08-16 22:23:28,HVAC_Unit_B,Pressure,48.17,PSI,NO
2026-08-16 22:08:28,Sensor_Node_X,Pressure,27.05,PSI,NO
2026-08-16 21:53:28,CNC_Machine_01,Pressure,63.37,PSI,NO
2026-08-16 21:38:28,Robotic_Arm_A1,Pressure,22.7,PSI,NO
2026-08-16 21:23:28,HVAC_Unit_B,Temperature,54.92,Celsius,NO
2026-08-16 21:08:28,Conveyor_Belt_03,Pressure,60.7,PSI,NO
2026-08-16 20:53:28,HVAC_Unit_B,Vibration,41.49,Hz,NO
2026-08-16 20:38:28,Conveyor_Belt_03,Temperature,64.31,Celsius,NO
2026-08-16 20:23:28,Conveyor_Belt_03,Vibration,22.29,Hz,NO
2026-08-16 20:08:28,HVAC_Unit_B,Vibration,22.8,Hz,NO
2026-08-16 19:53:28,Sensor_Node_X,Vibration,81.7,Hz,YES
2026-08-16 19:38:28,Conveyor_Belt_03,Pressure,47.01,PSI,NO
2026-08-16 19:23:28,Conveyor_Belt_03,Pressure,29.53,PSI,NO
2026-08-16 19:08:28,HVAC_Unit_B,Temperature,59.17,Celsius,NO
2026-08-16 18:53:28,Conveyor_Belt_03,Temperature,77.75,Celsius,NO
2026-08-16 18:38:28,Conveyor_Belt_03,Pressure,36.19,PSI,NO
2026-08-16 18:23:28,HVAC_Unit_B,Vibration,66.72,Hz,NO
2026-08-16 18:08:28,HVAC_Unit_B,Temperature,26.4,Celsius,NO
2026-08-16 17:53:28,Robotic_Arm_A1,Pressure,23.88,PSI,NO
2026-08-16 17:38:28,Sensor_Node_X,Pressure,59.85,PSI,NO
2026-08-16 17:23:28,Sensor_Node_X,Pressure,60.55,PSI,NO
2026-08-16 17:08:28,Conveyor_Belt_03,Vibration,67.81,Hz,NO
2026-08-16 16:53:28,Sensor_Node_X,Pressure,74.46,PSI,NO
2026-08-16 16:38:28,Conveyor_Belt_03,Pressure,93.19,PSI,YES
2026-08-16 16:23:28,Robotic_Arm_A1,Pressure,58.72,PSI,NO
2026-08-16 16:08:28,HVAC_Unit_B,Pressure,44.22,PSI,NO
2026-08-16 15:53:28,HVAC_Unit_B,Temperature,79.64,Celsius,NO
2026-08-16 15:38:28,HVAC_Unit_B,Temperature,40.31,Celsius,NO
2026-08-16 15:23:28,Sensor_Node_X,Pressure,52.92,PSI,NO
2026-08-16 15:08:28,Robotic_Arm_A1,Vibration,25.88,Hz,NO
2026-08-16 14:53:28,Sensor_Node_X,Temperature,21.9,Celsius,NO
2026-08-16 14:38:28,Sensor_Node_X,Pressure,92.2,PSI,YES
2026-08-16 14:23:28,Robotic_Arm_A1,Temperature,82.7,Celsius,YES
2026-08-16 14:08:28,Robotic_Arm_A1,Temperature,72.2,Celsius,NO
2026-08-16 13:53:28,Robotic_Arm_A1,Vibration,50.67,Hz,NO
2026-08-16 13:38:28,Robotic_Arm_A1,Pressure,33.0,PSI,NO
2026-08-16 13:23:28,HVAC_Unit_B,Pressure,31.73,PSI,NO
2026-08-16 13:08:28,CNC_Machine_01,Vibration,38.77,Hz,NO
2026-08-16 12:53:28,CNC_Machine_01,Vibration,61.19,Hz,NO
2026-08-16 12:38:28,Robotic_Arm_A1,Pressure,73.59,PSI,NO
2026-08-16 12:23:28,CNC_Machine_01,Pressure,69.51,PSI,NO
2026-08-16 12:08:28,CNC_Machine_01,Vibration,41.0,Hz,NO
2026-08-16 11:53:28,Robotic_Arm_A1,Temperature,91.61,Celsius,YES
2026-08-16 11:38:28,CNC_Machine_01,Temperature,75.34,Celsius,NO
2026-08-16 11:23:28,Sensor_Node_X,Vibration,61.58,Hz,NO
2026-08-16 11:08:28,Conveyor_Belt_03,Temperature,65.88,Celsius,NO
2026-08-16 10:53:28,Conveyor_Belt_03,Vibration,51.47,Hz,NO
2026-08-16 10:38:28,Robotic_Arm_A1,Temperature,38.58,Celsius,NO
2026-08-16 10:23:28,HVAC_Unit_B,Temperature,46.7,Celsius,NO
