Inspection_ID,Date_Contrôle,Quart_Travail,Ligne_Production,Référence_Pièce,Inspecteur,Type_Défaut,Sévérité,Action_Corrective,Coût_Rebut_EUR,Statut_Dossier
QC-2026-1001,2026-08-12,Matin (06h-14h),Atelier_Usinage_CNC,GEAR-BOX-TR,INSP-04 (Dupont),Conforme (Aucun),Aucune,Validation qualité OK - Mise en stock,0.0,Clôturé
QC-2026-1002,2026-08-07,Après-midi (14h-22h),Ligne_Assemblage_2,HOUSING-ALU-01,INSP-07 (Lefebvre),Conforme (Aucun),Aucune,Validation qualité OK - Mise en stock,0.0,Clôturé
QC-2026-1003,2026-08-12,Matin (06h-14h),Cellule_Robotique_3D,SENSOR-MODULE-X,INSP-12 (Moreau),Conforme (Aucun),Aucune,Validation qualité OK - Mise en stock,0.0,Clôturé
QC-2026-1004,2026-08-16,Après-midi (14h-22h),Atelier_Usinage_CNC,HOUSING-ALU-01,INSP-04 (Dupont),Conforme (Aucun),Aucune,Validation qualité OK - Mise en stock,0.0,Clôturé
QC-2026-1005,2026-08-10,Matin (06h-14h),Ligne_Assemblage_1,PART-A902,INSP-01 (Kowalski),Conforme (Aucun),Aucune,Validation qualité OK - Mise en stock,0.0,Clôturé
QC-2026-1006,2026-08-14,Matin (06h-14h),Cellule_Robotique_3D,PART-A902,INSP-12 (Moreau),Conforme (Aucun),Aucune,Validation qualité OK - Mise en stock,0.0,Clôturé
QC-2026-1007,2026-08-09,Matin (06h-14h),Cellule_Robotique_3D,PART-B114,INSP-07 (Lefebvre),Conforme (Aucun),Aucune,Validation qualité OK - Mise en stock,0.0,Clôturé
QC-2026-1008,2026-08-05,Nuit (22h-06h),Ligne_Assemblage_2,SENSOR-MODULE-X,INSP-04 (Dupont),Conforme (Aucun),Aucune,Validation qualité OK - Mise en stock,0.0,Clôturé
QC-2026-1009,2026-08-09,Matin (06h-14h),Atelier_Usinage_CNC,PART-A902,INSP-07 (Lefebvre),Écart dimensionnel (>0.05mm),Moyenne,Retouche sur tour numérique,77.07,En attente de retouche
QC-2026-1010,2026-08-01,Après-midi (14h-22h),Cellule_Robotique_3D,HOUSING-ALU-01,INSP-01 (Kowalski),Conforme (Aucun),Aucune,Validation qualité OK - Mise en stock,0.0,Clôturé
QC-2026-1011,2026-08-15,Après-midi (14h-22h),Ligne_Assemblage_1,PART-B114,INSP-07 (Lefebvre),Défaut de peinture,Faible,Ponçage léger et re-peinture,37.67,Clôturé
QC-2026-1012,2026-08-06,Matin (06h-14h),Atelier_Usinage_CNC,PART-B114,INSP-01 (Kowalski),Écart dimensionnel (>0.05mm),Moyenne,Retouche sur tour numérique,104.56,En attente de retouche
QC-2026-1013,2026-08-13,Nuit (22h-06h),Atelier_Usinage_CNC,GEAR-BOX-TR,INSP-12 (Moreau),Conforme (Aucun),Aucune,Validation qualité OK - Mise en stock,0.0,Clôturé
QC-2026-1014,2026-08-09,Matin (06h-14h),Ligne_Assemblage_1,PART-B114,INSP-07 (Lefebvre),Conforme (Aucun),Aucune,Validation qualité OK - Mise en stock,0.0,Clôturé
QC-2026-1015,2026-08-16,Après-midi (14h-22h),Ligne_Assemblage_2,PART-B114,INSP-07 (Lefebvre),Écart dimensionnel (>0.05mm),Moyenne,Retouche sur tour numérique,153.74,En attente de retouche
QC-2026-1016,2026-08-09,Matin (06h-14h),Ligne_Assemblage_1,PART-A902,INSP-07 (Lefebvre),Erreur d'assemblage,Élevée,Démontage manuel et vérification capteurs,150.12,En cours d'investigation
QC-2026-1017,2026-08-03,Après-midi (14h-22h),Ligne_Assemblage_1,SENSOR-MODULE-X,INSP-04 (Dupont),Conforme (Aucun),Aucune,Validation qualité OK - Mise en stock,0.0,Clôturé
QC-2026-1018,2026-08-13,Nuit (22h-06h),Atelier_Usinage_CNC,PART-B114,INSP-01 (Kowalski),Conforme (Aucun),Aucune,Validation qualité OK - Mise en stock,0.0,Clôturé
